cutoff	True.pos	False.pos	True.neg	False.neg	False.pos.rate	True.pos.rate
-0.5	1000	500	0	0	1	1
-0.495	1000	500	0	0	1	1
-0.49	1000	500	0	0	1	1
-0.485	1000	500	0	0	1	1
-0.48	1000	500	0	0	1	1
-0.475	1000	500	0	0	1	1
-0.47	1000	500	0	0	1	1
-0.465	1000	500	0	0	1	1
-0.46	1000	500	0	0	1	1
-0.455	1000	500	0	0	1	1
-0.45	1000	500	0	0	1	1
-0.445	1000	500	0	0	1	1
-0.44	1000	500	0	0	1	1
-0.435	1000	500	0	0	1	1
-0.43	1000	500	0	0	1	1
-0.425	1000	500	0	0	1	1
-0.42	1000	500	0	0	1	1
-0.415	1000	500	0	0	1	1
-0.41	1000	500	0	0	1	1
-0.405	1000	500	0	0	1	1
-0.4	1000	500	0	0	1	1
-0.395	1000	500	0	0	1	1
-0.39	1000	500	0	0	1	1
-0.385	1000	500	0	0	1	1
-0.38	1000	500	0	0	1	1
-0.375	1000	500	0	0	1	1
-0.37	1000	500	0	0	1	1
-0.365	1000	500	0	0	1	1
-0.36	1000	500	0	0	1	1
-0.355	1000	500	0	0	1	1
-0.35	1000	500	0	0	1	1
-0.345	1000	500	0	0	1	1
-0.34	1000	500	0	0	1	1
-0.335	1000	500	0	0	1	1
-0.33	1000	500	0	0	1	1
-0.325	1000	500	0	0	1	1
-0.32	1000	500	0	0	1	1
-0.315	1000	500	0	0	1	1
-0.31	1000	500	0	0	1	1
-0.305	1000	500	0	0	1	1
-0.3	1000	500	0	0	1	1
-0.295	1000	500	0	0	1	1
-0.29	1000	500	0	0	1	1
-0.285	1000	500	0	0	1	1
-0.28	1000	500	0	0	1	1
-0.275	1000	500	0	0	1	1
-0.27	1000	500	0	0	1	1
-0.265	1000	500	0	0	1	1
-0.26	1000	500	0	0	1	1
-0.255	1000	500	0	0	1	1
-0.25	1000	500	0	0	1	1
-0.245	1000	500	0	0	1	1
-0.24	1000	500	0	0	1	1
-0.235	1000	500	0	0	1	1
-0.23	1000	500	0	0	1	1
-0.225	1000	500	0	0	1	1
-0.22	1000	500	0	0	1	1
-0.215	1000	500	0	0	1	1
-0.21	1000	500	0	0	1	1
-0.205	1000	500	0	0	1	1
-0.2	1000	500	0	0	1	1
-0.195	1000	500	0	0	1	1
-0.19	1000	500	0	0	1	1
-0.185	1000	500	0	0	1	1
-0.18	1000	500	0	0	1	1
-0.175	1000	500	0	0	1	1
-0.17	1000	500	0	0	1	1
-0.165	1000	500	0	0	1	1
-0.16	1000	500	0	0	1	1
-0.155	1000	500	0	0	1	1
-0.15	1000	500	0	0	1	1
-0.145	1000	500	0	0	1	1
-0.14	1000	500	0	0	1	1
-0.135	1000	500	0	0	1	1
-0.13	1000	500	0	0	1	1
-0.125	1000	500	0	0	1	1
-0.12	1000	500	0	0	1	1
-0.115	1000	500	0	0	1	1
-0.11	1000	500	0	0	1	1
-0.105	1000	500	0	0	1	1
-0.1	1000	500	0	0	1	1
-0.095	1000	500	0	0	1	1
-0.09	1000	500	0	0	1	1
-0.085	1000	500	0	0	1	1
-0.08	1000	500	0	0	1	1
-0.075	1000	500	0	0	1	1
-0.07	1000	500	0	0	1	1
-0.065	1000	500	0	0	1	1
-0.06	1000	500	0	0	1	1
-0.055	1000	500	0	0	1	1
-0.05	1000	496	4	0	0.992	1
-0.045	999	485	15	1	0.97	0.999
-0.04	999	463	37	1	0.926	0.999
-0.035	999	423	77	1	0.846	0.999
-0.03	998	395	105	2	0.79	0.998
-0.025	998	389	111	2	0.778	0.998
-0.02	998	379	121	2	0.758	0.998
-0.015	998	374	126	2	0.748	0.998
-0.01	998	371	129	2	0.742	0.998
-0.005	998	356	144	2	0.712	0.998
0	998	345	155	2	0.69	0.998
0.005	998	343	157	2	0.686	0.998
0.01	998	341	159	2	0.682	0.998
0.015	998	338	162	2	0.676	0.998
0.02	998	336	164	2	0.672	0.998
0.025	998	334	166	2	0.668	0.998
0.03	998	331	169	2	0.662	0.998
0.035	998	325	175	2	0.65	0.998
0.04	998	323	177	2	0.646	0.998
0.045	998	317	183	2	0.634	0.998
0.05	998	314	186	2	0.628	0.998
0.055	998	311	189	2	0.622	0.998
0.0600000000000001	998	309	191	2	0.618	0.998
0.0650000000000001	998	303	197	2	0.606	0.998
0.0700000000000001	998	293	207	2	0.586	0.998
0.0750000000000001	998	289	211	2	0.578	0.998
0.08	998	282	218	2	0.564	0.998
0.085	998	277	223	2	0.554	0.998
0.09	998	271	229	2	0.542	0.998
0.095	998	264	236	2	0.528	0.998
0.1	998	252	248	2	0.504	0.998
0.105	998	244	256	2	0.488	0.998
0.11	998	231	269	2	0.462	0.998
0.115	998	222	278	2	0.444	0.998
0.12	998	219	281	2	0.438	0.998
0.125	998	216	284	2	0.432	0.998
0.13	998	206	294	2	0.412	0.998
0.135	998	199	301	2	0.398	0.998
0.14	998	196	304	2	0.392	0.998
0.145	998	195	305	2	0.39	0.998
0.15	998	187	313	2	0.374	0.998
0.155	998	182	318	2	0.364	0.998
0.16	998	181	319	2	0.362	0.998
0.165	998	178	322	2	0.356	0.998
0.17	998	175	325	2	0.35	0.998
0.175	998	166	334	2	0.332	0.998
0.18	998	160	340	2	0.32	0.998
0.185	998	157	343	2	0.314	0.998
0.19	998	153	347	2	0.306	0.998
0.195	998	149	351	2	0.298	0.998
0.2	997	144	356	3	0.288	0.997
0.205	995	134	366	5	0.268	0.995
0.21	994	127	373	6	0.254	0.994
0.215	993	119	381	7	0.238	0.993
0.22	993	113	387	7	0.226	0.993
0.225	992	111	389	8	0.222	0.992
0.23	991	109	391	9	0.218	0.991
0.235	991	109	391	9	0.218	0.991
0.24	991	108	392	9	0.216	0.991
0.245	990	107	393	10	0.214	0.99
0.25	990	106	394	10	0.212	0.99
0.255	990	104	396	10	0.208	0.99
0.26	990	100	400	10	0.2	0.99
0.265	990	98	402	10	0.196	0.99
0.27	990	94	406	10	0.188	0.99
0.275	990	92	408	10	0.184	0.99
0.28	990	87	413	10	0.174	0.99
0.285	988	84	416	12	0.168	0.988
0.29	988	77	423	12	0.154	0.988
0.295	988	70	430	12	0.14	0.988
0.3	987	62	438	13	0.124	0.987
0.305	985	50	450	15	0.1	0.985
0.31	984	41	459	16	0.082	0.984
0.315	984	36	464	16	0.072	0.984
0.32	982	32	468	18	0.064	0.982
0.325	981	27	473	19	0.054	0.981
0.33	980	22	478	20	0.044	0.98
0.335	978	17	483	22	0.034	0.978
0.34	978	12	488	22	0.024	0.978
0.345	978	7	493	22	0.014	0.978
0.35	977	6	494	23	0.012	0.977
0.355	974	2	498	26	0.004	0.974
0.36	974	1	499	26	0.002	0.974
0.365	973	0	500	27	0	0.973
0.37	973	0	500	27	0	0.973
0.375	973	0	500	27	0	0.973
0.38	972	0	500	28	0	0.972
0.385	972	0	500	28	0	0.972
0.39	972	0	500	28	0	0.972
0.395	971	0	500	29	0	0.971
0.4	971	0	500	29	0	0.971
0.405	970	0	500	30	0	0.97
0.41	969	0	500	31	0	0.969
0.415	967	0	500	33	0	0.967
0.42	966	0	500	34	0	0.966
0.425	966	0	500	34	0	0.966
0.43	966	0	500	34	0	0.966
0.435	965	0	500	35	0	0.965
0.44	965	0	500	35	0	0.965
0.445	965	0	500	35	0	0.965
0.45	964	0	500	36	0	0.964
0.455	960	0	500	40	0	0.96
0.46	959	0	500	41	0	0.959
0.465	959	0	500	41	0	0.959
0.47	958	0	500	42	0	0.958
0.475	958	0	500	42	0	0.958
0.48	956	0	500	44	0	0.956
0.485	955	0	500	45	0	0.955
0.49	955	0	500	45	0	0.955
0.495	953	0	500	47	0	0.953
0.5	953	0	500	47	0	0.953
0.505	952	0	500	48	0	0.952
0.51	951	0	500	49	0	0.951
0.515	950	0	500	50	0	0.95
0.52	950	0	500	50	0	0.95
0.525	947	0	500	53	0	0.947
0.53	939	0	500	61	0	0.939
0.535	938	0	500	62	0	0.938
0.54	936	0	500	64	0	0.936
0.545	935	0	500	65	0	0.935
0.55	935	0	500	65	0	0.935
0.555	934	0	500	66	0	0.934
0.56	932	0	500	68	0	0.932
0.565	929	0	500	71	0	0.929
0.57	929	0	500	71	0	0.929
0.575	927	0	500	73	0	0.927
0.58	926	0	500	74	0	0.926
0.585	924	0	500	76	0	0.924
0.59	922	0	500	78	0	0.922
0.595	919	0	500	81	0	0.919
0.6	915	0	500	85	0	0.915
0.605	912	0	500	88	0	0.912
0.61	908	0	500	92	0	0.908
0.615	907	0	500	93	0	0.907
0.62	907	0	500	93	0	0.907
0.625	903	0	500	97	0	0.903
0.63	902	0	500	98	0	0.902
0.635	901	0	500	99	0	0.901
0.64	898	0	500	102	0	0.898
0.645	896	0	500	104	0	0.896
0.65	894	0	500	106	0	0.894
0.655	892	0	500	108	0	0.892
0.66	890	0	500	110	0	0.89
0.665	888	0	500	112	0	0.888
0.67	888	0	500	112	0	0.888
0.675	884	0	500	116	0	0.884
0.68	882	0	500	118	0	0.882
0.685	881	0	500	119	0	0.881
0.69	876	0	500	124	0	0.876
0.695	873	0	500	127	0	0.873
0.7	870	0	500	130	0	0.87
0.705	866	0	500	134	0	0.866
0.71	862	0	500	138	0	0.862
0.715	858	0	500	142	0	0.858
0.72	855	0	500	145	0	0.855
0.725	848	0	500	152	0	0.848
0.73	845	0	500	155	0	0.845
0.735	843	0	500	157	0	0.843
0.74	836	0	500	164	0	0.836
0.745	834	0	500	166	0	0.834
0.75	828	0	500	172	0	0.828
0.755	821	0	500	179	0	0.821
0.76	819	0	500	181	0	0.819
0.765	812	0	500	188	0	0.812
0.77	808	0	500	192	0	0.808
0.775	801	0	500	199	0	0.801
0.78	797	0	500	203	0	0.797
0.785	792	0	500	208	0	0.792
0.79	786	0	500	214	0	0.786
0.795	777	0	500	223	0	0.777
0.8	767	0	500	233	0	0.767
0.805	757	0	500	243	0	0.757
0.81	755	0	500	245	0	0.755
0.815	751	0	500	249	0	0.751
0.82	738	0	500	262	0	0.738
0.825	733	0	500	267	0	0.733
0.83	728	0	500	272	0	0.728
0.835	718	0	500	282	0	0.718
0.84	709	0	500	291	0	0.709
0.845	702	0	500	298	0	0.702
0.85	697	0	500	303	0	0.697
0.855	694	0	500	306	0	0.694
0.86	687	0	500	313	0	0.687
0.865	682	0	500	318	0	0.682
0.87	671	0	500	329	0	0.671
0.875	665	0	500	335	0	0.665
0.88	658	0	500	342	0	0.658
0.885	647	0	500	353	0	0.647
0.89	640	0	500	360	0	0.64
0.895	633	0	500	367	0	0.633
0.9	622	0	500	378	0	0.622
0.905	619	0	500	381	0	0.619
0.91	615	0	500	385	0	0.615
0.915	606	0	500	394	0	0.606
0.92	602	0	500	398	0	0.602
0.925	592	0	500	408	0	0.592
0.93	586	0	500	414	0	0.586
0.935	577	0	500	423	0	0.577
0.94	564	0	500	436	0	0.564
0.945	554	0	500	446	0	0.554
0.95	539	0	500	461	0	0.539
0.955	528	0	500	472	0	0.528
0.96	516	0	500	484	0	0.516
0.965	504	0	500	496	0	0.504
0.97	500	0	500	500	0	0.5
0.975	486	0	500	514	0	0.486
0.98	479	0	500	521	0	0.479
0.985	465	0	500	535	0	0.465
0.99	456	0	500	544	0	0.456
0.995	441	0	500	559	0	0.441
1	430	0	500	570	0	0.43
1.005	422	0	500	578	0	0.422
1.01	413	0	500	587	0	0.413
1.015	404	0	500	596	0	0.404
1.02	397	0	500	603	0	0.397
1.025	388	0	500	612	0	0.388
1.03	372	0	500	628	0	0.372
1.035	361	0	500	639	0	0.361
1.04	355	0	500	645	0	0.355
1.045	348	0	500	652	0	0.348
1.05	334	0	500	666	0	0.334
1.055	327	0	500	673	0	0.327
1.06	318	0	500	682	0	0.318
1.065	302	0	500	698	0	0.302
1.07	295	0	500	705	0	0.295
1.075	282	0	500	718	0	0.282
1.08	272	0	500	728	0	0.272
1.085	260	0	500	740	0	0.26
1.09	249	0	500	751	0	0.249
1.095	239	0	500	761	0	0.239
1.1	224	0	500	776	0	0.224
1.105	212	0	500	788	0	0.212
1.11	202	0	500	798	0	0.202
1.115	187	0	500	813	0	0.187
1.12	174	0	500	826	0	0.174
1.125	155	0	500	845	0	0.155
1.13	141	0	500	859	0	0.141
1.135	129	0	500	871	0	0.129
1.14	121	0	500	879	0	0.121
1.145	114	0	500	886	0	0.114
1.15	105	0	500	895	0	0.105
1.155	99	0	500	901	0	0.099
1.16	95	0	500	905	0	0.095
1.165	82	0	500	918	0	0.082
1.17	79	0	500	921	0	0.079
1.175	75	0	500	925	0	0.075
1.18	70	0	500	930	0	0.07
1.185	63	0	500	937	0	0.063
1.19	55	0	500	945	0	0.055
1.195	47	0	500	953	0	0.047
1.2	42	0	500	958	0	0.042
1.205	38	0	500	962	0	0.038
1.21	35	0	500	965	0	0.035
1.215	30	0	500	970	0	0.03
1.22	28	0	500	972	0	0.028
1.225	23	0	500	977	0	0.023
1.23	18	0	500	982	0	0.018
1.235	17	0	500	983	0	0.017
1.24	14	0	500	986	0	0.014
1.245	13	0	500	987	0	0.013
1.25	11	0	500	989	0	0.011
1.255	9	0	500	991	0	0.009
1.26	8	0	500	992	0	0.008
1.265	6	0	500	994	0	0.006
1.27	5	0	500	995	0	0.005
1.275	5	0	500	995	0	0.005
1.28	5	0	500	995	0	0.005
1.285	2	0	500	998	0	0.002
1.29	2	0	500	998	0	0.002
1.295	1	0	500	999	0	0.001
1.3	1	0	500	999	0	0.001
1.305	1	0	500	999	0	0.001
1.31	1	0	500	999	0	0.001
1.315	1	0	500	999	0	0.001
1.32	1	0	500	999	0	0.001
1.325	1	0	500	999	0	0.001
1.33	1	0	500	999	0	0.001
1.335	1	0	500	999	0	0.001
1.34	1	0	500	999	0	0.001
1.345	1	0	500	999	0	0.001
1.35	1	0	500	999	0	0.001
1.355	1	0	500	999	0	0.001
1.36	1	0	500	999	0	0.001
1.365	1	0	500	999	0	0.001
1.37	1	0	500	999	0	0.001
1.375	1	0	500	999	0	0.001
1.38	1	0	500	999	0	0.001
1.385	1	0	500	999	0	0.001
1.39	1	0	500	999	0	0.001
1.395	1	0	500	999	0	0.001
1.4	1	0	500	999	0	0.001
1.405	1	0	500	999	0	0.001
